customer_id,country,age_range,signup_date,customer_key
58,Germany,46-55,2025-04-11,58
59,Germany,16-25,2025-03-09,59
60,Italy,56-65,2025-02-17,60
61,Spain,46-55,2024-10-20,61
62,Spain,56-65,2025-03-30,62
63,Netherlands,16-25,2025-04-28,63
64,Spain,16-25,2025-01-20,64
65,Spain,16-25,2025-05-09,65
66,Italy,56-65,2024-07-10,66
67,France,36-45,2025-03-19,67
68,Italy,46-55,2024-10-03,68
69,Germany,16-25,2025-05-21,69
70,Germany,26-35,2025-03-11,70
71,France,46-55,2024-06-09,71
72,Spain,36-45,2025-02-20,72
73,Italy,26-35,2024-11-09,73
74,France,36-45,2025-06-06,74
75,Italy,46-55,2025-02-21,75
76,Germany,56-65,2025-02-17,76
77,Netherlands,36-45,2024-01-22,77
78,Netherlands,16-25,2024-09-09,78
79,Spain,16-25,2024-08-23,79
80,Netherlands,56-65,2024-12-10,80
81,Germany,46-55,2025-04-03,81
82,France,16-25,2024-02-18,82
83,Germany,56-65,2024-02-28,83
84,Netherlands,46-55,2024-06-18,84
85,Italy,56-65,2024-07-06,85
86,Netherlands,46-55,2025-04-09,86
87,Italy,46-55,2024-09-27,87
88,Germany,36-45,2025-04-10,88
89,France,26-35,2024-07-08,89
90,Germany,36-45,2025-04-14,90
91,Netherlands,16-25,2025-04-02,91
92,Italy,46-55,2025-03-14,92
93,Italy,26-35,2025-03-21,93
94,France,16-25,2025-04-04,94
95,Italy,46-55,2024-06-23,95
96,Italy,36-45,2025-02-15,96
97,Germany,26-35,2025-03-21,97
98,France,26-35,2024-02-20,98
99,Spain,36-45,2025-03-17,99
100,Italy,26-35,2025-01-30,100
101,France,16-25,2024-12-29,101
102,France,16-25,2024-02-24,102
103,France,56-65,2025-02-17,103
104,Netherlands,56-65,2025-03-20,104
105,Italy,26-35,2024-08-31,105
106,Germany,36-45,2025-05-04,106
107,Germany,46-55,2025-04-06,107
108,France,46-55,2024-11-15,108
109,France,26-35,2025-04-17,109
110,Spain,36-45,2024-05-10,110
111,Spain,46-55,2024-11-02,111
112,France,26-35,2025-04-13,112
113,Germany,26-35,2025-02-28,113
114,Italy,16-25,2024-05-14,114
115,Germany,56-65,2025-03-24,115
116,Netherlands,56-65,2025-02-27,116
117,Germany,56-65,2025-03-27,117
118,Italy,16-25,2025-02-15,118
119,Germany,46-55,2024-01-21,119
120,Germany,46-55,2025-04-26,120
121,Italy,16-25,2024-11-24,121
122,Germany,36-45,2025-02-08,122
123,Italy,26-35,2025-03-19,123
124,France,36-45,2025-04-15,124
125,Germany,46-55,2025-05-05,125
126,Netherlands,26-35,2025-02-01,126
127,Netherlands,56-65,2025-05-02,127
128,Netherlands,56-65,2025-03-09,128
129,France,26-35,2025-03-27,129
130,Germany,16-25,2025-02-24,130
131,Germany,46-55,2025-03-28,131
132,France,46-55,2025-02-26,132
133,France,36-45,2025-01-07,133
134,Germany,36-45,2024-06-15,134
135,France,36-45,2025-01-21,135
136,Germany,16-25,2024-09-30,136
137,France,16-25,2025-01-22,137
138,France,56-65,2024-03-29,138
139,Germany,16-25,2025-02-26,139
140,France,16-25,2024-11-11,140
141,Italy,56-65,2024-01-14,141
142,Italy,36-45,2024-08-29,142
143,Netherlands,56-65,2025-05-19,143
144,Germany,46-55,2025-03-09,144
145,Italy,16-25,2024-09-21,145
146,Italy,56-65,2024-12-11,146
147,Germany,36-45,2025-02-13,147
148,Netherlands,26-35,2025-03-03,148
149,Netherlands,26-35,2024-02-22,149
150,France,46-55,2025-06-06,150
151,Spain,56-65,2025-04-02,151
152,France,26-35,2025-02-27,152
153,France,26-35,2025-05-21,153
154,France,36-45,2025-01-16,154
155,Germany,26-35,2025-02-19,155
156,France,26-35,2025-01-20,156
157,Italy,56-65,2025-05-11,157
158,Netherlands,26-35,2025-05-21,158
159,Spain,26-35,2024-12-05,159
160,Germany,56-65,2025-02-12,160
161,Spain,36-45,2025-03-26,161
162,Germany,36-45,2025-03-05,162
163,Italy,16-25,2025-03-18,163
164,Spain,56-65,2024-04-01,164
165,France,26-35,2025-03-12,165
166,France,46-55,2025-01-01,166
167,France,46-55,2025-03-07,167
168,France,36-45,2025-01-23,168
169,Germany,36-45,2025-03-19,169
170,France,36-45,2025-04-12,170
171,Italy,16-25,2025-01-23,171
172,Italy,26-35,2025-01-31,172
173,Germany,26-35,2025-02-04,173
174,Germany,26-35,2025-05-27,174
175,Germany,16-25,2025-03-30,175
176,Germany,26-35,2025-04-28,176
177,Italy,56-65,2025-03-16,177
178,Netherlands,46-55,2025-03-03,178
179,Netherlands,46-55,2024-09-20,179
180,Germany,56-65,2025-02-13,180
181,Italy,36-45,2025-06-12,181
182,France,46-55,2025-03-22,182
183,Netherlands,46-55,2025-03-06,183
184,France,46-55,2025-04-11,184
185,France,16-25,2024-02-04,185
186,Netherlands,46-55,2025-03-27,186
187,France,26-35,2025-04-12,187
188,France,46-55,2025-02-22,188
189,Germany,46-55,2025-04-19,189
190,Italy,26-35,2025-03-23,190
191,Germany,16-25,2025-03-20,191
192,Spain,46-55,2025-03-03,192
193,France,16-25,2024-07-24,193
194,Netherlands,16-25,2025-04-22,194
195,France,56-65,2025-02-28,195
196,Italy,16-25,2025-05-16,196
197,France,56-65,2024-03-21,197
198,Germany,26-35,2025-03-14,198
199,Italy,36-45,2025-02-23,199
200,Italy,26-35,2024-02-19,200
201,France,36-45,2025-04-14,201
202,Netherlands,36-45,2025-05-16,202
203,Italy,46-55,2025-04-18,203
204,Germany,16-25,2025-05-03,204
205,Netherlands,26-35,2024-12-25,205
206,Spain,36-45,2025-04-29,206
207,Germany,16-25,2025-04-12,207
208,France,36-45,2025-02-02,208
209,Netherlands,46-55,2025-01-22,209
210,Spain,26-35,2024-01-02,210
211,France,16-25,2025-01-24,211
212,Spain,46-55,2024-02-23,212
213,France,26-35,2024-04-15,213
214,Spain,16-25,2024-09-16,214
215,Netherlands,56-65,2025-02-03,215
216,Netherlands,16-25,2024-11-05,216
217,Italy,56-65,2025-04-10,217
218,Germany,16-25,2025-03-19,218
219,Netherlands,46-55,2024-07-09,219
220,Germany,26-35,2025-01-30,220
221,Germany,36-45,2025-02-05,221
222,Netherlands,16-25,2024-08-05,222
223,Germany,16-25,2025-03-27,223
224,France,36-45,2024-02-13,224
225,France,26-35,2025-03-12,225
226,Netherlands,16-25,2025-02-16,226
227,France,46-55,2025-04-23,227
228,Germany,36-45,2024-06-10,228
229,France,46-55,2024-07-20,229
230,France,56-65,2025-02-26,230
231,France,16-25,2025-02-21,231
232,Spain,56-65,2025-03-21,232
233,France,26-35,2025-03-27,233
234,Italy,26-35,2025-02-11,234
235,Italy,56-65,2025-04-08,235
236,Netherlands,46-55,2024-09-26,236
237,Germany,46-55,2025-02-14,237
238,France,16-25,2024-12-16,238
239,Netherlands,46-55,2024-10-30,239
240,Netherlands,26-35,2024-09-27,240
241,Spain,46-55,2025-03-27,241
242,Netherlands,46-55,2025-04-11,242
243,Germany,16-25,2025-01-27,243
244,Netherlands,36-45,2025-03-13,244
245,France,26-35,2024-08-02,245
246,Spain,26-35,2025-05-02,246
247,Netherlands,46-55,2025-02-14,247
248,Germany,46-55,2024-09-08,248
249,Netherlands,46-55,2024-07-08,249
250,Netherlands,36-45,2024-10-22,250
251,Italy,16-25,2024-07-31,251
252,Italy,16-25,2025-03-02,252
253,France,26-35,2025-04-01,253
254,Italy,36-45,2025-04-21,254
255,Spain,26-35,2024-07-26,255
256,Italy,16-25,2025-05-13,256
257,Germany,26-35,2024-08-24,257
258,Netherlands,46-55,2025-05-26,258
259,Germany,36-45,2025-03-25,259
260,Netherlands,36-45,2024-12-03,260
261,France,56-65,2025-01-01,261
262,Netherlands,26-35,2024-02-22,262
263,France,16-25,2025-04-11,263
264,Netherlands,56-65,2025-03-23,264
265,Italy,46-55,2025-03-29,265
266,Italy,46-55,2024-10-06,266
267,Spain,46-55,2025-02-13,267
268,Germany,46-55,2025-02-19,268
269,Spain,36-45,2025-02-27,269
270,Germany,26-35,2025-02-27,270
271,Germany,16-25,2025-03-13,271
272,Netherlands,56-65,2025-05-25,272
273,France,16-25,2025-03-01,273
274,Germany,16-25,2025-04-02,274
275,Germany,26-35,2024-08-04,275
276,France,36-45,2024-09-08,276
277,Italy,16-25,2025-02-26,277
278,Spain,56-65,2024-07-06,278
279,France,36-45,2025-04-09,279
280,Germany,26-35,2025-02-15,280
281,Germany,46-55,2025-01-14,281
282,Italy,16-25,2024-02-10,282
283,France,56-65,2025-04-13,283
284,Italy,16-25,2025-03-27,284
285,France,16-25,2025-02-10,285
286,Italy,26-35,2024-06-05,286
287,France,26-35,2024-01-15,287
288,Italy,36-45,2025-02-05,288
289,Netherlands,46-55,2025-04-30,289
290,Italy,16-25,2024-10-27,290
291,Germany,16-25,2024-03-05,291
292,Germany,16-25,2024-12-10,292
293,Italy,56-65,2024-11-22,293
294,Italy,16-25,2025-05-18,294
295,France,16-25,2024-01-09,295
296,France,16-25,2025-06-02,296
297,France,56-65,2024-12-09,297
298,Germany,16-25,2025-05-03,298
299,Italy,26-35,2024-05-08,299
300,France,56-65,2024-05-15,300
301,France,26-35,2025-03-24,301
302,Germany,56-65,2025-03-13,302
303,Germany,46-55,2024-03-03,303
304,France,36-45,2025-03-13,304
305,Germany,46-55,2025-02-09,305
306,Germany,26-35,2024-05-18,306
307,Italy,56-65,2024-03-21,307
308,Netherlands,36-45,2025-01-26,308
309,Spain,46-55,2025-04-18,309
310,Spain,56-65,2024-06-11,310
311,Italy,26-35,2025-02-22,311
312,Germany,46-55,2024-10-15,312
313,France,16-25,2025-01-13,313
314,Germany,26-35,2025-03-19,314
315,Netherlands,46-55,2024-09-17,315
316,France,36-45,2025-02-15,316
317,Italy,46-55,2024-08-18,317
318,France,46-55,2025-02-20,318
319,Germany,46-55,2024-02-10,319
320,Italy,46-55,2024-01-28,320
321,Germany,36-45,2025-04-27,321
322,Netherlands,26-35,2024-05-14,322
323,Netherlands,26-35,2025-04-03,323
324,Italy,46-55,2024-07-19,324
325,Germany,36-45,2025-03-26,325
326,Italy,26-35,2025-06-09,326
327,France,26-35,2025-01-31,327
328,Germany,46-55,2024-11-23,328
329,Netherlands,26-35,2024-09-24,329
330,Germany,16-25,2025-02-21,330
331,Spain,56-65,2025-04-02,331
332,Netherlands,46-55,2024-02-02,332
333,Netherlands,16-25,2024-02-17,333
334,France,16-25,2025-02-10,334
335,Germany,16-25,2024-03-02,335
336,Italy,46-55,2025-02-16,336
337,Spain,46-55,2024-08-03,337
338,Spain,26-35,2025-04-04,338
339,France,16-25,2025-04-16,339
340,Italy,46-55,2025-03-18,340
341,France,16-25,2025-04-20,341
342,Netherlands,36-45,2025-04-24,342
343,France,26-35,2024-10-19,343
344,Netherlands,16-25,2025-04-03,344
345,Netherlands,36-45,2024-04-08,345
346,Italy,56-65,2025-01-26,346
347,Netherlands,36-45,2024-06-20,347
348,Germany,36-45,2025-02-19,348
349,Germany,26-35,2025-03-20,349
350,France,36-45,2025-02-27,350
351,France,36-45,2024-12-25,351
352,Netherlands,46-55,2024-08-01,352
353,Germany,36-45,2024-02-04,353
354,Germany,36-45,2025-02-05,354
355,Spain,36-45,2025-03-24,355
356,Germany,46-55,2024-08-14,356
357,Italy,36-45,2025-02-20,357
358,Germany,36-45,2024-04-10,358
359,France,16-25,2025-03-31,359
360,France,16-25,2025-03-06,360
361,Netherlands,26-35,2025-03-29,361
362,Spain,56-65,2024-05-10,362
363,Netherlands,56-65,2024-09-13,363
364,Spain,46-55,2024-01-05,364
365,France,56-65,2025-03-24,365
366,France,26-35,2024-08-05,366
367,Netherlands,46-55,2025-03-19,367
368,France,26-35,2024-09-11,368
369,Netherlands,36-45,2025-04-01,369
370,Netherlands,26-35,2025-01-23,370
371,Netherlands,36-45,2025-02-01,371
372,Italy,36-45,2024-12-24,372
373,Spain,56-65,2025-02-25,373
374,Italy,16-25,2025-03-03,374
375,Germany,36-45,2025-02-28,375
376,Germany,36-45,2025-04-16,376
377,Spain,16-25,2025-02-03,377
378,France,56-65,2024-10-09,378
379,Germany,46-55,2025-04-03,379
380,Italy,46-55,2025-03-15,380
381,Germany,26-35,2025-01-27,381
382,Netherlands,56-65,2024-07-25,382
383,France,46-55,2024-01-15,383
384,Germany,16-25,2025-04-22,384
385,Germany,46-55,2025-04-11,385
386,France,36-45,2025-03-28,386
387,France,46-55,2025-02-04,387
388,France,26-35,2025-04-09,388
389,Italy,16-25,2024-12-11,389
390,Germany,46-55,2025-03-26,390
391,Spain,36-45,2024-02-11,391
392,Netherlands,36-45,2025-02-20,392
393,France,46-55,2025-04-09,393
394,Spain,56-65,2025-03-03,394
395,Spain,26-35,2025-01-14,395
396,Netherlands,36-45,2025-04-07,396
397,France,36-45,2025-02-08,397
398,Spain,16-25,2025-01-26,398
399,Italy,56-65,2024-06-27,399
400,Netherlands,16-25,2025-02-16,400
401,France,26-35,2025-04-19,401
402,Italy,16-25,2025-04-29,402
403,Germany,26-35,2025-03-24,403
404,Germany,56-65,2025-03-26,404
405,Germany,26-35,2024-03-03,405
406,Spain,36-45,2024-12-17,406
407,Italy,16-25,2025-02-22,407
408,Germany,46-55,2025-03-29,408
409,Netherlands,46-55,2024-08-18,409
410,Spain,16-25,2024-08-28,410
411,Germany,56-65,2025-04-13,411
412,France,46-55,2024-02-21,412
413,France,16-25,2025-04-29,413
414,Germany,46-55,2025-03-29,414
415,France,36-45,2025-03-08,415
416,France,46-55,2025-04-01,416
417,Spain,36-45,2025-03-03,417
418,France,36-45,2025-02-15,418
419,Spain,36-45,2025-03-28,419
420,Germany,36-45,2025-03-07,420
421,Germany,16-25,2024-04-05,421
422,Netherlands,46-55,2025-02-25,422
423,Italy,16-25,2025-01-22,423
424,Italy,36-45,2024-08-09,424
425,Italy,46-55,2025-02-10,425
426,Spain,56-65,2024-08-18,426
427,Spain,26-35,2025-03-26,427
428,Spain,56-65,2025-04-18,428
429,France,36-45,2024-08-24,429
430,France,46-55,2024-05-22,430
431,France,46-55,2024-06-19,431
432,Germany,36-45,2025-01-22,432
433,France,16-25,2024-01-29,433
434,France,16-25,2024-02-05,434
435,Netherlands,36-45,2025-02-17,435
436,Germany,26-35,2025-03-10,436
437,Italy,36-45,2024-01-13,437
438,Germany,16-25,2025-05-21,438
439,Germany,36-45,2025-05-11,439
440,Italy,16-25,2024-06-08,440
441,Germany,36-45,2024-11-22,441
442,Germany,16-25,2025-04-22,442
443,Spain,16-25,2024-07-05,443
444,Germany,26-35,2025-01-28,444
445,Italy,46-55,2025-03-25,445
446,Spain,46-55,2024-08-30,446
447,France,26-35,2025-03-19,447
448,France,26-35,2024-03-26,448
449,Italy,46-55,2024-10-10,449
450,Spain,46-55,2024-03-06,450
451,France,36-45,2025-05-09,451
452,France,56-65,2024-06-18,452
453,France,16-25,2025-02-08,453
454,Italy,16-25,2024-02-14,454
455,Netherlands,36-45,2025-04-07,455
456,Italy,26-35,2025-01-31,456
457,Germany,16-25,2025-04-23,457
458,Italy,56-65,2024-03-02,458
459,France,46-55,2025-04-18,459
460,Netherlands,56-65,2025-02-24,460
461,Germany,26-35,2025-03-27,461
462,Italy,36-45,2025-03-08,462
463,Spain,16-25,2025-03-16,463
464,Germany,36-45,2025-04-14,464
465,Germany,26-35,2024-05-13,465
466,Germany,16-25,2024-10-10,466
467,Spain,26-35,2025-06-09,467
468,Germany,36-45,2024-01-28,468
469,Italy,26-35,2025-04-02,469
470,Italy,56-65,2025-04-05,470
471,Netherlands,56-65,2025-03-11,471
472,France,36-45,2025-03-16,472
473,France,16-25,2025-02-08,473
474,France,36-45,2025-03-28,474
475,Italy,26-35,2025-03-15,475
476,Germany,56-65,2025-03-03,476
477,Spain,16-25,2025-02-23,477
478,Germany,56-65,2024-04-17,478
479,Netherlands,56-65,2024-02-13,479
480,Spain,16-25,2024-12-05,480
481,France,56-65,2025-05-09,481
482,Italy,56-65,2024-10-12,482
483,Netherlands,16-25,2025-03-21,483
484,France,56-65,2025-04-26,484
485,Netherlands,36-45,2025-02-11,485
486,Netherlands,56-65,2024-11-26,486
487,Germany,16-25,2024-05-07,487
488,Germany,46-55,2025-04-06,488
489,Germany,56-65,2025-05-17,489
490,Germany,56-65,2025-01-22,490
491,France,36-45,2024-12-13,491
492,Germany,26-35,2025-02-27,492
493,Germany,56-65,2025-02-17,493
494,Italy,36-45,2024-08-18,494
495,Germany,36-45,2024-07-08,495
496,Italy,16-25,2025-03-31,496
497,Germany,36-45,2025-02-10,497
498,France,46-55,2024-08-12,498
499,France,36-45,2025-05-06,499
500,Germany,56-65,2025-04-20,500
501,Italy,36-45,2025-03-19,501
502,France,16-25,2025-01-19,502
503,Italy,16-25,2025-04-08,503
504,Netherlands,16-25,2025-04-21,504
505,Germany,26-35,2025-03-28,505
506,France,26-35,2025-05-22,506
507,France,56-65,2025-01-11,507
508,Italy,16-25,2025-03-18,508
509,Netherlands,36-45,2025-01-29,509
510,France,16-25,2025-03-18,510
511,France,16-25,2025-04-18,511
512,Germany,56-65,2025-02-01,512
513,France,46-55,2025-06-12,513
514,France,56-65,2024-10-09,514
515,Germany,56-65,2025-03-21,515
516,Germany,36-45,2025-03-27,516
517,Netherlands,26-35,2025-02-03,517
518,Germany,46-55,2025-03-29,518
519,Italy,16-25,2025-02-10,519
520,Netherlands,16-25,2024-04-30,520
521,France,46-55,2025-03-18,521
522,Spain,16-25,2025-02-12,522
523,France,26-35,2024-04-25,523
524,France,16-25,2024-08-20,524
525,Italy,16-25,2025-04-23,525
526,France,26-35,2024-09-15,526
527,France,46-55,2024-12-24,527
528,Spain,36-45,2024-07-16,528
529,Netherlands,56-65,2025-02-14,529
530,Spain,26-35,2024-05-16,530
531,Spain,26-35,2025-04-01,531
532,France,26-35,2024-11-13,532
533,Spain,46-55,2024-06-13,533
534,Italy,56-65,2024-08-12,534
535,Germany,56-65,2024-11-02,535
536,France,56-65,2024-08-21,536
537,Netherlands,36-45,2024-06-20,537
538,Netherlands,46-55,2025-04-01,538
539,Germany,26-35,2024-05-31,539
540,Germany,56-65,2024-11-10,540
541,France,56-65,2025-04-17,541
542,France,46-55,2025-01-08,542
543,Germany,36-45,2024-06-08,543
544,Germany,26-35,2024-04-05,544
545,Germany,16-25,2025-04-22,545
546,France,36-45,2024-08-20,546
547,France,36-45,2025-05-22,547
548,Germany,36-45,2025-03-09,548
549,Spain,46-55,2024-06-28,549
550,Germany,56-65,2024-04-22,550
551,France,16-25,2025-03-11,551
552,France,46-55,2024-11-13,552
553,France,36-45,2025-03-17,553
554,France,56-65,2025-02-22,554
555,Spain,26-35,2024-02-21,555
556,Italy,16-25,2025-03-27,556
557,Spain,56-65,2025-01-22,557
558,Italy,46-55,2024-09-24,558
559,Italy,26-35,2024-10-21,559
560,Germany,26-35,2025-04-10,560
561,France,26-35,2025-03-24,561
562,Germany,16-25,2025-04-30,562
563,Netherlands,46-55,2025-04-06,563
564,Italy,26-35,2025-02-23,564
565,Spain,46-55,2025-05-08,565
566,Italy,36-45,2025-02-11,566
567,Netherlands,26-35,2025-04-19,567
568,Netherlands,26-35,2025-01-20,568
569,France,36-45,2025-03-18,569
570,Spain,16-25,2025-04-13,570
571,Netherlands,56-65,2025-01-21,571
572,Netherlands,56-65,2025-02-06,572
573,Italy,36-45,2024-04-22,573
574,Italy,16-25,2025-04-25,574
575,Netherlands,26-35,2025-04-15,575
576,Germany,46-55,2024-04-10,576
577,Netherlands,26-35,2025-04-29,577
578,Germany,16-25,2025-04-03,578
579,France,46-55,2024-04-22,579
580,Italy,46-55,2025-05-06,580
581,Germany,56-65,2025-05-27,581
582,France,36-45,2025-03-15,582
583,Netherlands,36-45,2024-03-21,583
584,Italy,26-35,2024-07-05,584
585,Portugal,16-25,2024-04-22,585
586,Portugal,56-65,2024-01-02,586
587,Germany,36-45,2025-05-09,587
588,Portugal,56-65,2025-04-12,588
589,Italy,16-25,2024-05-09,589
590,Germany,26-35,2024-08-07,590
591,Germany,36-45,2024-02-23,591
592,France,16-25,2024-12-08,592
593,France,26-35,2025-03-11,593
594,Spain,56-65,2024-08-11,594
595,Italy,26-35,2024-08-12,595
596,Italy,26-35,2025-05-15,596
597,Netherlands,36-45,2025-01-19,597
598,Portugal,16-25,2025-02-06,598
599,Italy,36-45,2024-05-05,599
600,Italy,36-45,2024-05-09,600
601,Germany,56-65,2025-04-13,601
602,Portugal,16-25,2025-05-09,602
603,Germany,16-25,2024-02-22,603
604,Italy,46-55,2025-04-17,604
605,Spain,26-35,2025-03-24,605
606,Germany,36-45,2024-06-20,606
607,France,36-45,2025-02-17,607
608,France,26-35,2025-02-12,608
609,Italy,56-65,2025-02-13,609
610,France,16-25,2025-04-12,610
611,Spain,36-45,2025-04-18,611
612,Italy,36-45,2025-02-06,612
613,Netherlands,16-25,2025-05-12,613
614,Netherlands,26-35,2024-08-05,614
615,Portugal,46-55,2025-04-06,615
616,Germany,46-55,2024-06-08,616
617,Netherlands,26-35,2025-03-30,617
618,Netherlands,16-25,2024-07-16,618
619,Italy,26-35,2025-02-19,619
620,Netherlands,56-65,2025-04-20,620
621,Italy,36-45,2024-09-03,621
622,Netherlands,26-35,2024-11-19,622
623,Netherlands,16-25,2025-03-14,623
624,Spain,36-45,2025-03-11,624
625,Portugal,46-55,2025-01-28,625
626,Italy,36-45,2025-02-19,626
627,Netherlands,36-45,2024-07-21,627
628,France,46-55,2025-02-21,628
629,Italy,26-35,2024-07-02,629
630,Portugal,16-25,2024-05-02,630
631,Portugal,36-45,2025-02-04,631
632,Portugal,46-55,2024-09-11,632
633,Spain,56-65,2025-03-11,633
634,Portugal,46-55,2025-03-03,634
635,Portugal,36-45,2024-10-20,635
636,Spain,56-65,2025-03-18,636
637,Portugal,56-65,2024-10-06,637
638,France,46-55,2025-04-11,638
639,Italy,56-65,2025-03-26,639
640,France,26-35,2025-01-20,640
641,Spain,36-45,2025-03-21,641
642,Portugal,46-55,2025-05-14,642
643,Portugal,16-25,2025-02-26,643
644,Portugal,36-45,2024-11-20,644
645,Portugal,26-35,2025-01-06,645
646,Spain,56-65,2025-02-17,646
647,France,16-25,2025-05-23,647
648,Germany,36-45,2025-02-18,648
649,Italy,56-65,2025-02-23,649
650,Italy,36-45,2024-04-07,650
651,France,16-25,2024-07-16,651
652,Germany,56-65,2025-03-15,652
653,Portugal,36-45,2025-05-12,653
654,Italy,56-65,2025-05-05,654
655,Italy,56-65,2025-03-20,655
656,Germany,56-65,2025-03-24,656
657,Italy,26-35,2025-03-16,657
658,Italy,36-45,2025-03-08,658
659,Portugal,46-55,2025-03-19,659
660,Italy,56-65,2025-04-23,660
661,Spain,16-25,2025-01-29,661
662,Italy,36-45,2025-03-05,662
663,Netherlands,26-35,2025-03-08,663
664,France,56-65,2025-04-18,664
665,Portugal,26-35,2025-04-06,665
666,Germany,16-25,2024-08-27,666
667,Netherlands,36-45,2024-05-23,667
668,Spain,26-35,2024-04-06,668
669,Netherlands,36-45,2024-07-19,669
670,Italy,36-45,2025-04-21,670
671,Netherlands,26-35,2024-05-03,671
672,Germany,56-65,2025-01-23,672
673,Germany,36-45,2025-04-16,673
674,Netherlands,26-35,2024-07-05,674
675,Italy,36-45,2025-01-19,675
676,Portugal,26-35,2025-04-26,676
677,Portugal,36-45,2025-03-12,677
678,Italy,46-55,2024-11-21,678
679,Portugal,26-35,2024-12-14,679
680,Spain,56-65,2024-09-15,680
681,Germany,16-25,2025-02-07,681
682,Portugal,16-25,2025-03-10,682
683,France,36-45,2024-05-27,683
684,Netherlands,56-65,2025-04-06,684
685,Spain,36-45,2025-04-14,685
686,Netherlands,16-25,2025-04-11,686
687,France,26-35,2025-05-09,687
688,Italy,46-55,2025-04-02,688
689,Spain,56-65,2025-03-19,689
690,Spain,46-55,2025-04-30,690
691,Italy,46-55,2025-04-04,691
692,France,56-65,2025-05-05,692
693,Netherlands,26-35,2025-03-13,693
694,Netherlands,46-55,2024-09-08,694
695,Spain,56-65,2025-02-17,695
696,France,46-55,2025-03-18,696
697,Germany,56-65,2025-03-31,697
698,Portugal,36-45,2025-04-05,698
699,Netherlands,56-65,2025-02-25,699
700,Portugal,16-25,2025-03-08,700
701,Spain,26-35,2025-02-06,701
702,Portugal,46-55,2025-06-08,702
703,Germany,16-25,2025-03-30,703
704,Germany,16-25,2025-04-10,704
705,Spain,26-35,2025-02-23,705
706,France,36-45,2025-04-26,706
707,France,46-55,2025-02-06,707
708,Netherlands,36-45,2024-12-11,708
709,Germany,36-45,2025-03-26,709
710,France,36-45,2025-02-05,710
711,France,16-25,2025-05-04,711
712,Germany,36-45,2024-05-26,712
713,France,36-45,2024-05-27,713
714,Portugal,46-55,2025-03-22,714
715,Germany,26-35,2024-12-17,715
716,France,26-35,2024-07-17,716
717,Spain,46-55,2024-11-03,717
718,Italy,16-25,2025-04-01,718
719,Italy,26-35,2025-02-20,719
720,Spain,46-55,2025-03-21,720
721,Netherlands,16-25,2025-02-27,721
722,Italy,26-35,2024-05-07,722
723,Italy,56-65,2024-02-08,723
724,France,56-65,2024-12-03,724
725,Spain,36-45,2025-04-14,725
726,Germany,56-65,2025-04-03,726
727,Portugal,26-35,2025-03-09,727
728,Netherlands,56-65,2025-04-02,728
729,Portugal,36-45,2025-04-24,729
730,Spain,16-25,2025-02-16,730
731,Portugal,36-45,2024-12-25,731
732,Germany,16-25,2024-05-08,732
733,Germany,26-35,2025-04-02,733
734,Netherlands,46-55,2025-03-28,734
735,France,26-35,2025-04-02,735
736,Germany,26-35,2025-02-19,736
737,Italy,46-55,2024-09-23,737
738,Netherlands,26-35,2025-03-16,738
739,Portugal,26-35,2025-02-09,739
