product_id,product_name,category,brand,color,size,catalog_price,cost_price,gender,product_key
49,Soft Boxy Tee,T-Shirts,Tiva,Black,XS,57.35,32.35,Female,49
50,Modern Wrap Tee,T-Shirts,Tiva,Red,M,61.95,28.22,Female,50
51,Soft Satin Set,Sleepwear,Tiva,Green,XL,25.38,17.53,Female,51
52,Modern Linen Tee,T-Shirts,Tiva,White,XL,53.61,33.91,Female,52
53,Soft Boxy Shoes,Shoes,Tiva,Black,XS,57.17,38.98,Female,53
54,Modern Silk Dress,Dresses,Tiva,Blue,L,60.33,40.33,Female,54
55,Modern Ribbed Tee,T-Shirts,Tiva,Red,XS,44.32,25.68,Female,55
56,Modern Wrap Shoes,Shoes,Tiva,Red,XS,62.92,42.57,Female,56
57,Modern Crew Dress,Dresses,Tiva,Green,M,52.28,22.3,Female,57
58,Modern Sleeveless Dress,Dresses,Tiva,Red,XL,35.81,16.43,Female,58
59,Soft Silk Set,Sleepwear,Tiva,Blue,S,34.58,14.3,Female,59
60,Modern Cotton Tee,T-Shirts,Tiva,Green,M,81.7,40.65,Female,60
61,Modern Satin Tee,T-Shirts,Tiva,Green,XL,50.88,26.28,Female,61
62,Modern Linen Trousers,Pants,Tiva,Green,XL,46.09,22.19,Female,62
63,Soft Crew Set,Sleepwear,Tiva,Green,XL,58.67,38.05,Female,63
64,Soft Sleeveless Set,Sleepwear,Tiva,Black,M,13.51,6.85,Female,64
65,Modern Silk Tee,T-Shirts,Tiva,Green,M,27.45,13.29,Female,65
66,Modern High-Waist Dress,Dresses,Tiva,Black,S,24.13,13.58,Female,66
67,Modern Crew Tee,T-Shirts,Tiva,Blue,XS,67.37,29.8,Female,67
68,Soft High-Waist Set,Sleepwear,Tiva,Blue,M,47.27,30.28,Female,68
69,Modern Linen Shoes,Shoes,Tiva,White,38,49.98,21.11,Female,69
70,Modern Boxy Dress,Dresses,Tiva,White,L,66.33,46.17,Female,70
71,Modern Ribbed Trousers,Pants,Tiva,Red,XL,80.76,51.01,Female,71
72,Classic Wrap Dress,Dresses,Tiva,Red,M,72.8,33.46,Female,72
73,Soft Boxy Set,Sleepwear,Tiva,Black,XS,53.25,21.39,Female,73
74,Modern Wrap Set,Sleepwear,Tiva,Red,XS,40.94,26.39,Female,74
75,Modern Linen Set,Sleepwear,Tiva,Green,M,52.83,32.33,Female,75
76,Modern Cotton Trousers,Pants,Tiva,Blue,L,51.7,31.99,Female,76
77,Classic Linen Dress,Dresses,Tiva,Black,XS,52.38,33.07,Female,77
78,Modern Ribbed Shoes,Shoes,Tiva,Green,35,59.21,25.0,Female,78
79,Modern Satin Trousers,Pants,Tiva,Red,L,63.22,32.09,Female,79
80,Classic Ribbed Dress,Dresses,Tiva,Black,S,31.86,13.85,Female,80
81,Modern Ribbed Set,Sleepwear,Tiva,Black,XL,29.63,19.52,Female,81
82,Classic Cotton Dress,Dresses,Tiva,Green,S,32.21,18.91,Female,82
83,Modern Sleeveless Tee,T-Shirts,Tiva,Blue,XS,57.8,28.86,Female,83
84,Modern Cotton Shoes,Shoes,Tiva,Blue,38,31.84,13.34,Female,84
85,Classic Satin Dress,Dresses,Tiva,Red,XS,37.35,18.42,Female,85
86,Modern Cotton Set,Sleepwear,Tiva,White,XL,41.26,20.53,Female,86
87,Classic Silk Dress,Dresses,Tiva,White,M,53.32,33.0,Female,87
88,Modern Satin Set,Sleepwear,Tiva,Red,L,29.81,17.63,Female,88
89,Modern Satin Shoes,Shoes,Tiva,Red,36,45.12,30.06,Female,89
90,Modern Silk Shoes,Shoes,Tiva,Blue,40,31.67,17.15,Female,90
91,Modern Silk Set,Sleepwear,Tiva,Green,XS,33.95,14.8,Female,91
92,Modern Crew Shoes,Shoes,Tiva,Black,XS,40.25,24.71,Female,92
93,Modern Silk Trousers,Pants,Tiva,Black,M,39.18,24.61,Female,93
94,Modern Sleeveless Shoes,Shoes,Tiva,Blue,38,45.8,26.03,Female,94
95,Modern Crew Set,Sleepwear,Tiva,Red,L,31.15,19.66,Female,95
96,Modern High-Waist Tee,T-Shirts,Tiva,Black,XL,39.03,21.39,Female,96
97,Modern High-Waist Shoes,Shoes,Tiva,Red,36,55.27,30.78,Female,97
98,Modern Boxy Shoes,Shoes,Tiva,Black,38,78.52,41.48,Female,98
99,Modern Boxy Tee,T-Shirts,Tiva,White,XS,59.78,24.37,Female,99
100,Classic Crew Dress,Dresses,Tiva,White,XL,56.44,24.4,Female,100
101,Classic Wrap Tee,T-Shirts,Tiva,Green,L,58.11,23.79,Female,101
102,Classic Linen Tee,T-Shirts,Tiva,Green,S,43.06,25.45,Female,102
103,Classic Ribbed Tee,T-Shirts,Tiva,Blue,S,57.0,28.18,Female,103
104,Classic Wrap Shoes,Shoes,Tiva,Green,36,73.78,40.77,Female,104
105,Classic Cotton Tee,T-Shirts,Tiva,Black,S,36.9,24.81,Female,105
106,Classic Satin Tee,T-Shirts,Tiva,Blue,XS,40.75,19.35,Female,106
107,Classic Linen Shoes,Shoes,Tiva,Red,36,55.06,28.8,Female,107
108,Modern Crew Trousers,Pants,Tiva,Green,S,48.19,30.2,Female,108
109,Classic Sleeveless Dress,Dresses,Tiva,Red,M,45.27,21.22,Female,109
110,Classic High-Waist Dress,Dresses,Tiva,Blue,M,58.7,24.84,Female,110
111,Modern Sleeveless Trousers,Pants,Tiva,White,XS,60.36,29.39,Female,111
112,Modern Sleeveless Set,Sleepwear,Tiva,Black,XS,61.2,27.44,Female,112
113,Classic Boxy Dress,Dresses,Tiva,White,XS,39.18,26.6,Female,113
114,Classic Ribbed Shoes,Shoes,Tiva,White,36,21.53,13.83,Female,114
115,Modern High-Waist Set,Sleepwear,Tiva,Green,XL,62.27,36.74,Female,115
116,Modern High-Waist Trousers,Pants,Tiva,Green,M,74.81,49.48,Female,116
117,Vintage Wrap Dress,Dresses,Tiva,Red,M,56.06,35.94,Female,117
118,Classic Silk Tee,T-Shirts,Tiva,Blue,M,46.99,21.43,Female,118
119,Vintage Linen Dress,Dresses,Tiva,Blue,XS,27.34,18.26,Female,119
120,Modern Boxy Set,Sleepwear,Tiva,Green,S,25.7,14.44,Female,120
121,Classic Cotton Shoes,Shoes,Tiva,Black,35,47.91,30.77,Female,121
122,Modern Boxy Trousers,Pants,Tiva,Green,XL,24.8,16.59,Female,122
123,Classic Wrap Set,Sleepwear,Tiva,White,S,61.51,30.47,Female,123
124,Classic Linen Set,Sleepwear,Tiva,White,S,55.04,23.83,Female,124
125,Classic Satin Shoes,Shoes,Tiva,Green,35,61.27,28.7,Female,125
126,Classic Silk Shoes,Shoes,Tiva,Green,XS,55.03,29.06,Female,126
127,Classic Wrap Trousers,Pants,Tiva,Red,XL,53.67,34.64,Female,127
128,Classic Crew Tee,T-Shirts,Tiva,Green,XL,44.9,29.55,Female,128
129,Classic Linen Trousers,Pants,Tiva,Red,XS,60.68,24.4,Female,129
130,Classic Ribbed Set,Sleepwear,Tiva,Black,L,49.12,27.17,Female,130
131,Classic Cotton Set,Sleepwear,Tiva,Black,S,66.63,35.0,Female,131
132,Classic Crew Shoes,Shoes,Tiva,Black,XS,46.9,21.89,Female,132
133,Classic Sleeveless Tee,T-Shirts,Tiva,Blue,XL,53.05,23.13,Female,133
134,Classic Ribbed Trousers,Pants,Tiva,Blue,XL,61.75,30.95,Female,134
135,Classic Sleeveless Shoes,Shoes,Tiva,Blue,40,42.47,29.0,Female,135
136,Classic Cotton Trousers,Pants,Tiva,Red,XS,46.8,23.26,Female,136
137,Classic Satin Trousers,Pants,Tiva,White,XL,46.52,25.85,Female,137
138,Classic High-Waist Shoes,Shoes,Tiva,White,36,49.21,30.06,Female,138
139,Classic High-Waist Tee,T-Shirts,Tiva,Green,L,33.59,17.1,Female,139
140,Vintage Ribbed Dress,Dresses,Tiva,Red,XL,52.08,36.02,Female,140
141,Vintage Cotton Dress,Dresses,Tiva,Blue,XS,39.16,26.97,Female,141
142,Vintage Satin Dress,Dresses,Tiva,White,S,67.29,32.0,Female,142
143,Classic Satin Set,Sleepwear,Tiva,Green,S,39.75,21.83,Female,143
144,Classic Silk Trousers,Pants,Tiva,Blue,L,41.84,20.51,Female,144
145,Classic Boxy Shoes,Shoes,Tiva,Black,40,58.25,28.28,Female,145
146,Vintage Wrap Shoes,Shoes,Tiva,White,36,81.06,33.32,Female,146
147,Vintage Linen Shoes,Shoes,Tiva,Black,35,52.91,30.84,Female,147
148,Classic Boxy Tee,T-Shirts,Tiva,Blue,S,36.69,20.21,Female,148
149,Classic Crew Trousers,Pants,Tiva,Green,L,42.24,17.55,Female,149
150,Vintage Wrap Tee,T-Shirts,Tiva,Green,XS,50.04,24.2,Female,150
151,Classic Sleeveless Trousers,Pants,Tiva,White,L,36.47,24.53,Female,151
152,Classic Silk Set,Sleepwear,Tiva,Black,XS,61.7,29.11,Female,152
153,Vintage Ribbed Shoes,Shoes,Tiva,Red,38,52.36,23.22,Female,153
154,Classic Crew Set,Sleepwear,Tiva,Red,XL,53.74,29.39,Female,154
155,Vintage Silk Dress,Dresses,Tiva,Red,XS,46.07,32.05,Female,155
156,Vintage Crew Dress,Dresses,Tiva,Black,S,55.52,26.24,Female,156
157,Classic Sleeveless Set,Sleepwear,Tiva,Black,M,41.56,25.0,Female,157
158,Vintage Sleeveless Dress,Dresses,Tiva,Black,XL,45.15,28.38,Female,158
159,Classic High-Waist Trousers,Pants,Tiva,Blue,S,33.59,15.83,Female,159
160,Classic High-Waist Set,Sleepwear,Tiva,Green,L,59.38,36.72,Female,160
161,Vintage Linen Tee,T-Shirts,Tiva,White,S,45.75,23.35,Female,161
162,Classic Boxy Set,Sleepwear,Tiva,Green,L,66.5,39.21,Female,162
163,Vintage Wrap Set,Sleepwear,Tiva,Blue,XS,76.96,45.41,Female,163
164,Vintage High-Waist Dress,Dresses,Tiva,Blue,M,22.96,12.87,Female,164
165,Vintage Cotton Shoes,Shoes,Tiva,Green,40,42.67,18.22,Female,165
166,Vintage Satin Shoes,Shoes,Tiva,Black,40,65.26,42.46,Female,166
167,Vintage Silk Shoes,Shoes,Tiva,Blue,36,70.55,35.01,Female,167
168,Vintage Ribbed Tee,T-Shirts,Tiva,Red,M,54.74,24.96,Female,168
169,Vintage Linen Set,Sleepwear,Tiva,Red,XL,32.94,13.58,Female,169
170,Vintage Boxy Dress,Dresses,Tiva,Blue,XL,51.27,29.6,Female,170
171,Polished Wrap Dress,Dresses,Tiva,Black,S,30.26,18.25,Female,171
172,Vintage Crew Shoes,Shoes,Tiva,White,40,41.7,16.89,Female,172
173,Polished Linen Dress,Dresses,Tiva,White,L,49.74,27.54,Female,173
174,Vintage Ribbed Set,Sleepwear,Tiva,Red,XL,26.41,12.36,Female,174
175,Vintage Cotton Tee,T-Shirts,Tiva,Black,XS,49.16,29.18,Female,175
176,Polished Ribbed Dress,Dresses,Tiva,White,S,27.94,12.64,Female,176
177,Vintage Cotton Set,Sleepwear,Tiva,Green,S,42.66,25.91,Female,177
178,Classic Boxy Trousers,Pants,Tiva,Black,XS,39.34,20.3,Female,178
179,Vintage Satin Tee,T-Shirts,Tiva,Blue,XS,44.59,30.37,Female,179
180,Vintage Sleeveless Shoes,Shoes,Tiva,Blue,40,38.81,17.13,Female,180
181,Vintage High-Waist Shoes,Shoes,Tiva,Black,35,52.18,26.21,Female,181
182,Vintage Satin Set,Sleepwear,Tiva,Red,S,78.63,34.13,Female,182
183,Vintage Silk Set,Sleepwear,Tiva,White,L,47.87,32.43,Female,183
184,Vintage Wrap Trousers,Pants,Tiva,Green,L,44.08,29.23,Female,184
185,Vintage Linen Trousers,Pants,Tiva,Green,L,47.73,22.79,Female,185
186,Vintage Boxy Shoes,Shoes,Tiva,Green,35,59.35,35.49,Female,186
187,Vintage Ribbed Trousers,Pants,Tiva,Blue,M,30.19,19.48,Female,187
188,Polished Wrap Shoes,Shoes,Tiva,Green,38,55.01,31.17,Female,188
189,Vintage Crew Set,Sleepwear,Tiva,Blue,XS,48.12,26.89,Female,189
190,Polished Cotton Dress,Dresses,Tiva,Red,XS,49.41,23.35,Female,190
191,Polished Satin Dress,Dresses,Tiva,Blue,XS,60.52,25.9,Female,191
192,Polished Silk Dress,Dresses,Tiva,Green,L,62.48,41.81,Female,192
193,Vintage Silk Tee,T-Shirts,Tiva,Blue,XL,50.52,33.85,Female,193
194,Vintage Sleeveless Set,Sleepwear,Tiva,White,M,64.11,37.82,Female,194
195,Vintage Crew Tee,T-Shirts,Tiva,Black,XL,16.69,8.37,Female,195
196,Vintage Cotton Trousers,Pants,Tiva,White,S,59.41,29.99,Female,196
197,Polished Linen Shoes,Shoes,Tiva,Black,35,66.68,41.19,Female,197
198,Polished Crew Dress,Dresses,Tiva,Blue,S,14.64,9.8,Female,198
199,Polished Sleeveless Dress,Dresses,Tiva,Green,S,36.48,24.3,Female,199
200,Vintage High-Waist Set,Sleepwear,Tiva,Black,S,46.41,29.42,Female,200
201,Vintage Sleeveless Tee,T-Shirts,Tiva,White,L,45.62,27.03,Female,201
202,Vintage High-Waist Tee,T-Shirts,Tiva,Green,XL,41.88,17.81,Female,202
203,Polished High-Waist Dress,Dresses,Tiva,White,L,52.1,23.37,Female,203
204,Polished Boxy Dress,Dresses,Tiva,White,XS,39.2,26.25,Female,204
205,Vintage Satin Trousers,Pants,Tiva,Green,XS,24.05,14.0,Female,205
206,Vintage Silk Trousers,Pants,Tiva,Blue,XL,63.03,25.39,Female,206
207,Vintage Boxy Tee,T-Shirts,Tiva,Red,S,67.98,29.26,Female,207
208,Polished Wrap Tee,T-Shirts,Tiva,Green,M,37.45,22.43,Female,208
209,Polished Ribbed Shoes,Shoes,Tiva,Green,40,32.41,13.01,Female,209
210,Vintage Boxy Set,Sleepwear,Tiva,Blue,XL,57.32,25.69,Female,210
211,Polished Cotton Shoes,Shoes,Tiva,Blue,36,43.5,24.56,Female,211
212,Polished Linen Tee,T-Shirts,Tiva,Green,XS,74.13,45.04,Female,212
213,Polished Ribbed Tee,T-Shirts,Tiva,Black,S,57.31,34.13,Female,213
214,Vintage Crew Trousers,Pants,Tiva,Blue,S,59.07,27.6,Female,214
215,Vintage Sleeveless Trousers,Pants,Tiva,Green,L,37.11,22.77,Female,215
216,Polished Satin Shoes,Shoes,Tiva,Blue,XS,48.86,23.02,Female,216
217,Polished Cotton Tee,T-Shirts,Tiva,White,XS,52.12,25.94,Female,217
218,Polished Satin Tee,T-Shirts,Tiva,Red,S,48.73,30.4,Female,218
219,Polished Silk Shoes,Shoes,Tiva,Blue,40,49.76,29.6,Female,219
220,Polished Wrap Set,Sleepwear,Tiva,Red,L,52.6,34.44,Female,220
221,Polished Silk Tee,T-Shirts,Tiva,Black,M,53.7,32.07,Female,221
222,Relaxed Wrap Dress,Dresses,Tiva,Black,M,57.19,32.63,Female,222
223,Vintage High-Waist Trousers,Pants,Tiva,Green,L,57.36,24.56,Female,223
224,Relaxed Linen Dress,Dresses,Tiva,Red,L,75.4,38.48,Female,224
225,Polished Crew Shoes,Shoes,Tiva,White,XS,58.11,27.87,Female,225
226,Polished Linen Set,Sleepwear,Tiva,Green,S,39.78,18.82,Female,226
227,Polished Crew Tee,T-Shirts,Tiva,White,S,57.51,39.79,Female,227
228,Vintage Boxy Trousers,Pants,Tiva,Blue,L,46.89,24.29,Female,228
229,Polished Sleeveless Shoes,Shoes,Tiva,Red,36,45.58,30.43,Female,229
230,Polished Ribbed Set,Sleepwear,Tiva,White,XS,48.3,28.47,Female,230
231,Polished High-Waist Shoes,Shoes,Tiva,Blue,36,44.06,28.13,Female,231
232,Polished Boxy Shoes,Shoes,Tiva,Black,XS,49.34,27.18,Female,232
233,Relaxed Wrap Shoes,Shoes,Tiva,Black,36,38.68,22.17,Female,233
234,Polished Sleeveless Tee,T-Shirts,Tiva,Blue,S,80.0,43.82,Female,234
235,Polished Cotton Set,Sleepwear,Tiva,Black,M,23.68,10.86,Female,235
236,Relaxed Linen Shoes,Shoes,Tiva,Black,XS,62.93,38.81,Female,236
237,Relaxed Ribbed Dress,Dresses,Tiva,Green,XL,64.08,31.03,Female,237
238,Polished High-Waist Tee,T-Shirts,Tiva,Black,XS,85.9,34.99,Female,238
239,Polished Wrap Trousers,Pants,Tiva,Green,XL,66.99,39.77,Female,239
240,Polished Linen Trousers,Pants,Tiva,Blue,M,38.14,17.28,Female,240
241,Polished Ribbed Trousers,Pants,Tiva,Black,L,29.82,20.34,Female,241
242,Relaxed Ribbed Shoes,Shoes,Tiva,Black,XS,51.25,35.17,Female,242
243,Polished Satin Set,Sleepwear,Tiva,Black,S,37.06,25.0,Female,243
244,Relaxed Cotton Shoes,Shoes,Tiva,Red,40,59.32,30.32,Female,244
245,Relaxed Cotton Dress,Dresses,Tiva,Blue,L,24.91,10.08,Female,245
246,Relaxed Satin Dress,Dresses,Tiva,White,XS,28.98,19.66,Female,246
247,Polished Cotton Trousers,Pants,Tiva,Black,L,58.86,31.1,Female,247
248,Polished Boxy Tee,T-Shirts,Tiva,White,XL,36.79,25.38,Female,248
249,Polished Silk Set,Sleepwear,Tiva,White,XL,28.42,19.58,Female,249
250,Relaxed Satin Shoes,Shoes,Tiva,Red,38,68.22,44.75,Female,250
251,Relaxed Wrap Tee,T-Shirts,Tiva,Green,S,36.88,18.01,Female,251
252,Relaxed Linen Tee,T-Shirts,Tiva,Black,S,51.17,26.38,Female,252
253,Relaxed Ribbed Tee,T-Shirts,Tiva,Black,XL,50.55,33.13,Female,253
254,Relaxed Silk Shoes,Shoes,Tiva,Black,35,47.44,23.49,Female,254
255,Polished Satin Trousers,Pants,Tiva,Red,XL,51.0,22.99,Female,255
256,Polished Crew Set,Sleepwear,Tiva,Blue,L,38.41,21.78,Female,256
257,Relaxed Crew Shoes,Shoes,Tiva,Blue,40,77.9,53.04,Female,257
258,Relaxed Sleeveless Shoes,Shoes,Tiva,Red,36,31.48,19.17,Female,258
259,Polished Silk Trousers,Pants,Tiva,White,S,35.73,20.4,Female,259
260,Relaxed Silk Dress,Dresses,Tiva,White,XS,64.28,27.59,Female,260
261,Relaxed Cotton Tee,T-Shirts,Tiva,White,M,46.1,26.95,Female,261
262,Polished Sleeveless Set,Sleepwear,Tiva,Red,XS,52.94,36.9,Female,262
263,Relaxed High-Waist Shoes,Shoes,Tiva,White,XS,42.48,18.78,Female,263
264,Relaxed Satin Tee,T-Shirts,Tiva,White,M,55.01,30.56,Female,264
265,Relaxed Boxy Shoes,Shoes,Tiva,Green,36,55.25,36.64,Female,265
266,Polished Crew Trousers,Pants,Tiva,Green,L,61.67,38.37,Female,266
267,Polished High-Waist Set,Sleepwear,Tiva,Green,L,53.91,32.84,Female,267
268,Polished Boxy Set,Sleepwear,Tiva,Black,S,49.59,30.29,Female,268
269,Relaxed Crew Dress,Dresses,Tiva,Red,XS,77.59,39.4,Female,269
270,Relaxed Silk Tee,T-Shirts,Tiva,White,S,70.46,34.39,Female,270
271,Essential Wrap Shoes,Shoes,Tiva,White,40,54.28,34.89,Female,271
272,Essential Linen Shoes,Shoes,Tiva,White,38,74.17,47.69,Female,272
273,Relaxed Crew Tee,T-Shirts,Tiva,White,M,50.72,33.48,Female,273
274,Relaxed Wrap Set,Sleepwear,Tiva,Red,XL,48.38,32.61,Female,274
275,Relaxed Sleeveless Tee,T-Shirts,Tiva,Red,XL,52.11,28.84,Female,275
276,Relaxed High-Waist Tee,T-Shirts,Tiva,Red,M,64.44,35.47,Female,276
277,Relaxed Boxy Tee,T-Shirts,Tiva,Blue,L,43.92,28.09,Female,277
278,Essential Wrap Tee,T-Shirts,Tiva,Red,M,50.41,29.99,Female,278
279,Relaxed Linen Set,Sleepwear,Tiva,Black,S,51.58,31.49,Female,279
280,Essential Linen Tee,T-Shirts,Tiva,Green,XS,44.14,28.19,Female,280
281,Polished Sleeveless Trousers,Pants,Tiva,Blue,M,65.94,43.98,Female,281
282,Polished High-Waist Trousers,Pants,Tiva,Red,XL,52.12,26.13,Female,282
283,Essential Ribbed Shoes,Shoes,Tiva,Red,38,39.62,20.31,Female,283
284,Essential Cotton Shoes,Shoes,Tiva,White,35,81.79,35.02,Female,284
285,Relaxed Sleeveless Dress,Dresses,Tiva,Red,XS,40.63,23.3,Female,285
286,Essential Satin Shoes,Shoes,Tiva,Blue,36,58.91,24.2,Female,286
287,Relaxed Ribbed Set,Sleepwear,Tiva,Blue,XL,60.34,32.56,Female,287
288,Essential Ribbed Tee,T-Shirts,Tiva,Black,M,57.11,32.14,Female,288
289,Relaxed High-Waist Dress,Dresses,Tiva,White,XS,41.51,20.17,Female,289
290,Relaxed Cotton Set,Sleepwear,Tiva,Blue,XL,50.86,29.36,Female,290
291,Essential Silk Shoes,Shoes,Tiva,Green,XS,59.56,24.37,Female,291
292,Essential Cotton Tee,T-Shirts,Tiva,White,XS,40.12,16.5,Female,292
293,Essential Crew Shoes,Shoes,Tiva,Blue,XS,40.77,26.37,Female,293
294,Essential Sleeveless Shoes,Shoes,Tiva,Green,XS,56.69,28.8,Female,294
295,Polished Boxy Trousers,Pants,Tiva,Black,L,48.73,21.35,Female,295
296,Relaxed Boxy Dress,Dresses,Tiva,Black,M,67.07,37.34,Female,296
297,Essential High-Waist Shoes,Shoes,Tiva,Blue,35,65.17,41.12,Female,297
298,Essential Boxy Shoes,Shoes,Tiva,Black,XS,33.94,15.77,Female,298
299,Essential Wrap Dress,Dresses,Tiva,Red,S,52.65,30.9,Female,299
300,Tailored Wrap Shoes,Shoes,Tiva,Black,36,48.88,20.8,Female,300
301,Essential Linen Dress,Dresses,Tiva,Red,M,48.72,20.24,Female,301
302,Essential Satin Tee,T-Shirts,Tiva,Green,XS,43.4,24.28,Female,302
303,Relaxed Satin Set,Sleepwear,Tiva,Green,XL,56.58,31.81,Female,303
304,Essential Silk Tee,T-Shirts,Tiva,Black,XL,54.88,32.45,Female,304
305,Relaxed Wrap Trousers,Pants,Tiva,Blue,L,60.79,37.56,Female,305
306,Relaxed Silk Set,Sleepwear,Tiva,Green,XS,74.67,51.73,Female,306
307,Essential Crew Tee,T-Shirts,Tiva,White,S,66.87,37.11,Female,307
308,Relaxed Linen Trousers,Pants,Tiva,Red,L,43.27,21.5,Female,308
309,Essential Ribbed Dress,Dresses,Tiva,Red,M,42.14,26.91,Female,309
310,Relaxed Ribbed Trousers,Pants,Tiva,Green,L,72.1,34.7,Female,310
311,Essential Cotton Dress,Dresses,Tiva,White,XL,43.38,23.06,Female,311
312,Essential Satin Dress,Dresses,Tiva,Red,XL,43.84,18.57,Female,312
313,Relaxed Crew Set,Sleepwear,Tiva,Red,L,35.69,14.55,Female,313
314,Relaxed Sleeveless Set,Sleepwear,Tiva,Green,M,56.29,38.77,Female,314
315,Essential Sleeveless Tee,T-Shirts,Tiva,Blue,S,67.02,43.62,Female,315
316,Essential High-Waist Tee,T-Shirts,Tiva,Red,XS,45.73,27.84,Female,316
317,Relaxed High-Waist Set,Sleepwear,Tiva,Black,XL,62.63,32.74,Female,317
318,Essential Boxy Tee,T-Shirts,Tiva,White,S,37.55,16.97,Female,318
319,Essential Silk Dress,Dresses,Tiva,Red,M,24.05,10.75,Female,319
320,Essential Crew Dress,Dresses,Tiva,Blue,S,74.26,35.28,Female,320
321,Relaxed Cotton Trousers,Pants,Tiva,White,XS,58.09,32.81,Female,321
322,Essential Sleeveless Dress,Dresses,Tiva,Black,S,44.45,27.31,Female,322
323,Tailored Wrap Tee,T-Shirts,Tiva,Blue,XS,62.34,37.28,Female,323
324,Tailored Linen Tee,T-Shirts,Tiva,Green,S,60.31,29.19,Female,324
325,Tailored Linen Shoes,Shoes,Tiva,Red,35,39.78,27.31,Female,325
326,Essential High-Waist Dress,Dresses,Tiva,White,S,56.7,35.23,Female,326
